case_id,run_id,retriever_name,memory_id,rank,score,token_cost,retrieved_text,matched_gold_evidence_units,is_gold_support,is_distractor
v0-hn-entity-001,2cb839b72cb3,bm25,mem-001,1,1.851427,0.0,Mira chose Lisbon for the Q3 offsite,1,true,false
v0-hn-entity-001,2cb839b72cb3,bm25,mem-002,2,0.870598,0.0,Mira chose Porto for the Q4 offsite,0,false,true
v0-hn-entity-001,2cb839b72cb3,bm25,mem-003,3,0.400594,0.0,Mira picked Madrid for the team retreat,0,false,true
v0-hn-entity-001,2904efc6873b,hybrid_rerank,mem-001,1,1.000000,0.0,Mira chose Lisbon for the Q3 offsite,1,true,false
v0-hn-entity-001,2904efc6873b,hybrid_rerank,mem-002,2,0.370261,0.0,Mira chose Porto for the Q4 offsite,0,false,true
v0-hn-entity-001,2904efc6873b,hybrid_rerank,mem-003,3,0.000000,0.0,Mira picked Madrid for the team retreat,0,false,true
v0-hn-temporal-002,6b787e21ce6f,bm25,mem-004,1,0.625797,0.0,Q3 offsite was originally planned for Lisbon,0,false,true
v0-hn-temporal-002,6b787e21ce6f,bm25,mem-005,2,0.563448,0.0,Q3 offsite was moved to Madrid after budget review,1,true,false
v0-hn-temporal-002,6b787e21ce6f,bm25,mem-006,3,0.138457,0.0,Budget for Q3 was approved at 50k,0,false,true
v0-hn-temporal-002,b2e4137ebc97,hybrid_rerank,mem-005,1,1.000000,0.0,Q3 offsite was moved to Madrid after budget review,1,true,false
v0-hn-temporal-002,b2e4137ebc97,hybrid_rerank,mem-004,2,1.000000,0.0,Q3 offsite was originally planned for Lisbon,0,false,true
v0-hn-temporal-002,b2e4137ebc97,hybrid_rerank,mem-006,3,0.000000,0.0,Budget for Q3 was approved at 50k,0,false,true
v0-hn-paraphrase-003,e11c6fbf4650,bm25,mem-008,1,3.505201,0.0,Lisbon was picked by Mira for the offsite,0,false,true
v0-hn-paraphrase-003,e11c6fbf4650,bm25,mem-007,2,2.122060,0.0,Mira chose Lisbon for the Q3 offsite,1,true,false
v0-hn-paraphrase-003,e11c6fbf4650,bm25,mem-009,3,0.574174,0.0,The Q3 team meeting will be in a European capital,0,false,true
v0-hn-paraphrase-003,c0f840ab2ebd,hybrid_rerank,mem-007,1,1.000000,0.0,Mira chose Lisbon for the Q3 offsite,1,true,false
v0-hn-paraphrase-003,c0f840ab2ebd,hybrid_rerank,mem-008,2,1.000000,0.0,Lisbon was picked by Mira for the offsite,0,false,true
v0-hn-paraphrase-003,c0f840ab2ebd,hybrid_rerank,mem-009,3,0.000000,0.0,The Q3 team meeting will be in a European capital,0,false,true
v0-hn-multihop-004,c3e2221f738b,bm25,mem-010,1,1.920837,0.0,Mira proposed Lisbon for the Q3 offsite,1,true,false
v0-hn-multihop-004,c3e2221f738b,bm25,mem-011,2,1.920837,0.0,The budget committee approved Lisbon for Q3,1,true,false
v0-hn-multihop-004,c3e2221f738b,bm25,mem-012,3,0.000000,0.0,Porto was rejected due to venue cost,0,false,true
v0-hn-multihop-004,2226ee4ada25,hybrid_rerank,mem-010,1,0.500000,0.0,Mira proposed Lisbon for the Q3 offsite,1,true,false
v0-hn-multihop-004,2226ee4ada25,hybrid_rerank,mem-011,2,0.500000,0.0,The budget committee approved Lisbon for Q3,1,true,false
v0-hn-multihop-004,2226ee4ada25,hybrid_rerank,mem-012,3,0.000000,0.0,Porto was rejected due to venue cost,0,false,true
v0-hn-stale-005,9ce5fa1b90fd,bm25,mem-014,1,2.081461,0.0,This year Kai selected Brussels for the partner workshop,1,true,false
v0-hn-stale-005,9ce5fa1b90fd,bm25,mem-013,2,1.207070,0.0,Kai chose Vienna for last year's partner workshop,0,false,true
v0-hn-stale-005,9ce5fa1b90fd,bm25,mem-015,3,0.281455,0.0,Partner workshop agenda was finalized on Monday,0,false,true
v0-hn-stale-005,fb3add699ac1,hybrid_rerank,mem-014,1,0.568169,0.0,This year Kai selected Brussels for the partner workshop,1,true,false
v0-hn-stale-005,fb3add699ac1,hybrid_rerank,mem-013,2,1.000000,0.0,Kai chose Vienna for last year's partner workshop,0,false,true
v0-hn-stale-005,fb3add699ac1,hybrid_rerank,mem-015,3,0.000000,0.0,Partner workshop agenda was finalized on Monday,0,false,true
v0-hn-compress-006,7c9e8f4ab1b2,bm25,mem-017,1,2.067095,0.0,Omar selected a Central European city for the review,0,false,true
v0-hn-compress-006,7c9e8f4ab1b2,bm25,mem-016,2,1.677074,0.0,Omar selected Prague for the retention review,1,true,false
v0-hn-compress-006,7c9e8f4ab1b2,bm25,mem-018,3,0.782815,0.0,Retention review scheduled for next Tuesday,0,false,true
v0-hn-compress-006,175a033e4182,hybrid_rerank,mem-016,1,1.000000,0.0,Omar selected Prague for the retention review,1,true,false
v0-hn-compress-006,175a033e4182,hybrid_rerank,mem-017,2,1.000000,0.0,Omar selected a Central European city for the review,0,false,true
v0-hn-compress-006,175a033e4182,hybrid_rerank,mem-018,3,0.000000,0.0,Retention review scheduled for next Tuesday,0,false,true
