case_index,generation_bin,case_id,gold_label,status,excluded,timeout_count,fingerprint,fingerprint_hit,library_size_before,library_candidates,library_rollouts,library_rank_recovered,library_net,discovery_rollouts,discovery_net,total_rollouts,recovered,accepted,recovery_source,recovered_op,best_net_gain,delta_k,library_written,fixed_recovered,fixed_net,fixed_rollouts,fixed_library_size_before,random_recovered,random_net,random_rollouts,random_pool_size,random_coverage,random_order_recovered,random_order_rank,random_order_rollouts,library_rank,judge_base_url,judge_model,rubric_version
1,1,memoryarena-multihop-0001-37497b348a,injection_error,ok,false,0,2022 author correct discovery fact final memoryarena-chain-001-860c owl remembered resolves task use,false,0,0,0,0,0.0000,23,0.7483,23,true,true,discovery,gp1:injection_error+hints[m_hop2_gold=-1],0.7483,0.7483,true,true,0.7483,0,0,false,0.0000,0,0,0.0000,false,0,0,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
2,1,memoryarena-multihop-0051-66085181c3,safety_error,ok,false,0,answer correct disguise fact final memoryarena-chain-051-53bf prince resolves safe shadows task use,true,1,1,1,0,0.0000,32,0.7500,33,true,true,discovery,gp0:injection_error+gp1:safety_error,0.7500,0.7500,true,true,0.7500,1,1,false,0.0000,1,1,1.0000,true,0,1,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
3,1,memoryarena-multihop-0020-f6cfbabe83,retrieval_error,ok,false,0,adjacent candidate fact her memoryarena-chain-020-3945 not-the resolves she task use while wrong,true,2,2,2,0,0.0000,27,0.0000,29,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,2,2,false,0.0000,2,2,1.0000,true,0,2,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
4,1,longmemeval-multihop-0057-567969c78c,injection_error,ok,false,0,answer bedroom correct fact final longmemeval-chain-057-044c remembered resolves task use,true,2,2,2,0,0.0000,23,0.2368,25,true,true,discovery,gp0:injection_error+gp1:injection_error,0.2368,0.2368,true,true,0.2368,2,2,false,0.0000,2,2,1.0000,true,0,2,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
5,1,longmemeval-multihop-0031-02ac351aa2,safety_error,ok,false,0,answer correct fact final longmemeval-chain-031-47d3 market remembered resolves safe task thrive use,true,3,3,1,1,0.7476,0,0.0000,1,true,true,library,gp0:injection_error+gp1:safety_error,0.7476,0.7476,true,true,0.7481,1,3,true,0.7481,1,3,0.3333,true,2,2,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
6,1,toolbench-multihop-0038-732c5130f2,granularity_error,ok,false,0,details exact final ott preserved right summary task toolbench-chain-038-0f54 topic use value,true,4,3,3,0,0.0000,27,0.0000,30,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,3,4,false,0.0000,3,3,1.0000,false,0,3,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
7,1,longmemeval-multihop-0040-6df1e76a54,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-040-0a11 not-paris remembered resolves task use wrong,true,4,3,1,1,0.2332,0,0.0000,1,true,true,library,gp1:injection_error+hints[m_hop2_gold=-1],0.2332,0.2332,true,true,0.2332,1,4,false,0.0000,1,3,0.3333,true,3,3,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
8,1,memoryarena-multihop-0066-f278950a2b,granularity_error,ok,false,0,2022 all criteria exact final january memoryarena-chain-066-2306 right summary task topic use,true,5,3,3,0,0.0000,27,0.0000,30,false,false,unrecovered,,0.0000,0.0000,false,false,0.0000,3,5,false,0.0000,3,3,1.0000,false,0,3,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
9,1,longmemeval-multihop-0075-6d1f99c8b6,safety_error,ok,false,0,answer classes correct fact final longmemeval-chain-075-285e remembered resolves safe spanish task use,true,5,3,1,1,0.2500,0,0.0000,1,true,true,library,gp0:injection_error+gp1:safety_error,0.2500,0.2500,true,true,0.2500,1,5,false,0.0000,1,3,0.3333,true,2,2,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
10,1,toolbench-multihop-0006-d6fc166a2e,granularity_error,ok,false,0,contextoguess event-level exact final preserved right summary task toolbench-chain-006-e1b2 topic use value,true,6,3,3,0,0.0093,27,0.0150,30,false,false,unrecovered,,0.0000,0.0000,false,false,0.0093,3,6,false,0.0093,3,3,1.0000,true,0,3,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
11,1,longmemeval-multihop-0077-f58f3c58e9,injection_error,ok,false,0,answer correct fact final longmemeval-chain-077-b762 mention remembered resolves task use you your,true,6,3,1,1,0.2500,0,0.0000,1,true,true,library,gp0:injection_error,0.2500,0.2500,true,true,0.2500,1,6,true,0.7500,1,3,0.3333,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
12,1,longmemeval-multihop-0000-db356dee64,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-000-007e not-pennsylvania remembered resolves task use wrong,true,7,4,4,0,0.0000,27,0.4907,31,true,true,discovery,gp0:injection_error+gp1:retrieval_error,0.4907,0.4907,true,true,0.4907,4,7,false,0.0000,4,4,1.0000,false,0,4,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
13,1,toolbench-multihop-0069-f39c44e55d,injection_error,ok,false,0,api apis evidence fact final required resolves task toolbench toolbench-chain-069-187a use xmusic,true,8,5,1,1,0.1248,0,0.0000,1,true,true,library,gp0:injection_error,0.1248,0.1248,true,true,0.1248,1,8,true,0.3750,1,5,0.2000,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
14,1,longmemeval-multihop-0028-5561401983,retrieval_error,ok,false,0,adjacent candidate homegrown longmemeval-chain-028-3e88 not-the prefer resolves suggestions task their use wrong,true,9,5,5,0,0.0000,27,0.2052,32,true,true,discovery,gp1:retrieval_error+hints[m_hop2_gold=1],0.2052,0.2052,true,true,0.2052,5,9,false,0.0000,5,5,1.0000,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
15,1,memoryarena-multihop-0016-301069af99,retrieval_error,ok,false,0,adjacent candidate dissertation fact final information memoryarena-chain-016-221a not-based resolves task use wrong,true,10,5,2,2,0.2495,0,0.0000,2,true,true,library,gp1:injection_error+hints[m_hop2_gold=-1],0.2495,0.2495,true,true,0.2495,2,10,true,0.1250,1,6,0.3333,true,1,1,2,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
16,2,longmemeval-multihop-0060-5660b3d520,retrieval_error,ok,false,0,adjacent candidate correct fact final longmemeval-chain-060-adad not-trader remembered resolves task use wrong,true,11,5,5,0,0.0000,27,0.3062,32,true,true,discovery,gp0:retrieval_error+gp1:retrieval_error,0.3062,0.3062,true,true,0.3062,5,11,true,0.3062,3,6,0.8333,false,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
17,2,memoryarena-multihop-0023-e715bf40d4,safety_error,ok,false,0,answer based correct fact final memoryarena-chain-023-c439 remembered research resolves safe task use,true,12,5,1,1,0.2500,0,0.0000,1,true,true,library,gp0:injection_error+gp1:safety_error,0.2500,0.2500,true,true,0.2500,1,11,false,0.0000,1,7,0.1429,true,1,1,1,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
18,2,toolbench-multihop-0033-1a1fbae892,injection_error,ok,false,0,api download evidence fact final required resolves task toolbench toolbench-chain-033-d8c2 use vimeo,true,13,5,3,3,0.2499,0,0.0000,3,true,true,library,gp1:injection_error+hints[m_hop2_gold=-1],0.2499,0.2499,true,true,0.2499,3,11,true,0.2499,3,7,0.4286,true,1,1,3,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
19,2,toolbench-multihop-0010-a9e3459fd1,granularity_error,ok,false,0,engine exact final get gis right summary task toolbench-chain-010-4642 topic use value,true,14,5,5,0,0.0830,27,0.2527,32,true,true,discovery,gp0:injection_error+gp1:injection_error+hints[m_hop2_session=1],0.2527,0.2527,true,true,0.1584,5,11,true,0.1584,4,7,0.7143,true,0,5,0,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
